Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Coventry̴Road,Coventry Road,
2011,Birmingham,Coventry̴Road,Coventry Road,
2011,Birmingham,Coventry̴Road,Coventry Road,
2011,Birmingham," Coventry̴road,̴Small̴heath"," Coventry road, Small heath",
2011,Birmingham," Coventry̴Road,̴Small̴Heath"," Coventry Road, Small Heath",
2011,Birmingham," coventry̴road,small̴heath"," coventry road,small heath",
2011,Birmingham,Cranes̴Park̴Road,Cranes Park Road,
2011,Birmingham,Cranes̴Park̴Road̴Sheldon,Cranes Park Road Sheldon,
2011,Birmingham,crossfield̴road,crossfield road,
2011,Birmingham,Crossfields̴Road̴Kitts̴Green,Crossfields Road Kitts Green,
2011,Birmingham," cxhurch̴rd,̴stechford,̴bham"," cxhurch rd, stechford, bham",
2011,Birmingham,digbeth̴high̴street,digbeth high street,
2011,Birmingham,Edgbaston̴road,Edgbaston road,
2011,Birmingham,Edward̴Road.̴Moseley,Edward Road. Moseley,
2011,Birmingham,Fighting̴Cox̴PH,Fighting Cox PH,
2011,Birmingham," Foremans̴road,̴sparkhill"," Foremans road, sparkhill",
2011,Birmingham," front̴office,̴kings̴heath"," front office, kings heath",
2011,Birmingham," Garretts̴Green̴Road,̴Garretts̴Green"," Garretts Green Road, Garretts Green",
2011,Birmingham,Giles̴Close,Giles Close,
2011,Birmingham," GILES̴CLOSE,̴STECHFORD"," GILES CLOSE, STECHFORD",
2011,Birmingham,glazedale̴road,glazedale road,
2011,Birmingham,Gospel̴Farm̴Road,Gospel Farm Road,
2011,Birmingham,Gospel̴Farm̴Road,Gospel Farm Road,
2011,Birmingham,gospel̴lane,gospel lane,
2011,Birmingham,gospel̴lane,gospel lane,
2011,Birmingham,Gospel̴Lane,Gospel Lane,
2011,Birmingham," Gospel̴lane,̴acocks̴green"," Gospel lane, acocks green",
2011,Birmingham," Grace̴Church,̴Sutton̴Coldfield"," Grace Church, Sutton Coldfield",
2011,Birmingham,Great̴Hampton̴Street,Great Hampton Street,
2011,Birmingham,Green̴Lane,Green Lane,
2011,Birmingham,Greswell̴lane̴Shard̴End,Greswell lane Shard End,
2011,Birmingham," Harlequin̴drive,̴Mosley"," Harlequin drive, Mosley",
2011,Birmingham,Haslucks̴Green̴Road,Haslucks Green Road,
2011,Birmingham,Hazeldean̴Road,Hazeldean Road,
2011,Birmingham,Heartlands̴Hospital,Heartlands Hospital,
2011,Birmingham,Heartlands̴Hospital,Heartlands Hospital,
2011,Birmingham,Heartlands̴Hospital̴A̴&̴E.,Heartlands Hospital A & E.,
2011,Birmingham,Heartlands̴Hospital̴A̴&̴E.,Heartlands Hospital A & E.,
2011,Birmingham,heartlands̴hospital̴A̴&̴E.,heartlands hospital A & E.,
2011,Birmingham,Hepben̴Grove,Hepben Grove,
2011,Birmingham,Herrick̴Road,Herrick Road,
2011,Birmingham," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath",
2011,Birmingham," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath",
2011,Birmingham,High̴St̴Solihull,High St Solihull,
2011,Birmingham,HIGH̴STREET̴KINGS̴HEATH,HIGH STREET KINGS HEATH,
2011,Birmingham,High̴Street̴Kings̴Heath,High Street Kings Heath,
2011,Birmingham," high̴street,̴kings̴heath"," high street, kings heath",
2011,Birmingham,Hob̴Moor̴Road̴at̴Starbank̴Road,Hob Moor Road at Starbank Road,
2011,Birmingham,Holloway̴head̴Bham̴City̴centre,Holloway head Bham City centre,
2011,Birmingham,Hollywell̴Road,Hollywell Road,
2011,Birmingham,home̴address,home address,
2011,Birmingham,Home̴Address,Home Address,
2011,Birmingham,Homer̴street,Homer street,
2011,Birmingham,Hunters̴Moon̴Public̴house.,Hunters Moon Public house.,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham",
2011,Birmingham,Kings̴Heath̴High̴Street,Kings Heath High Street,
2011,Birmingham," KNOWLE̴RD,̴SMALL̴HEATH,̴BHAM"," KNOWLE RD, SMALL HEATH, BHAM",
2011,Birmingham,ladypool̴Road,ladypool Road,
2011,Birmingham,ladypool̴Road,ladypool Road,
2011,Birmingham,Ladywell̴Walk,Ladywell Walk,
2011,Birmingham,Lea̴Hall̴RD,Lea Hall RD,
2011,Birmingham,Lea̴Hall̴rd,Lea Hall rd,
2011,Birmingham," Lea̴Village,̴Stechford"," Lea Village, Stechford",
2011,Birmingham," Lenches̴Close,̴Mosley"," Lenches Close, Mosley",
2011,Birmingham,Lime̴Tree̴Road,Lime Tree Road,
2011,Birmingham,Lode̴Lane̴@̴Hermitage̴Road,Lode Lane @ Hermitage Road,
2011,Birmingham,Long̴street,Long street,
2011,Birmingham,Long̴Street.̴Sparkhill,Long Street. Sparkhill,
2011,Birmingham,Longbridge̴Lane,Longbridge Lane,
2011,Birmingham," LONGMEADOW̴CRESCENT̴SHARD̴END̴,̴BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM",
2011,Birmingham,Maccadown̴Lane,Maccadown Lane,
2011,Birmingham,masshouse̴lane,masshouse lane,
2011,Birmingham,Meadwaym̴Stechford,Meadwaym Stechford,
2011,Birmingham," Mickleover̴Road,̴Bromford"," Mickleover Road, Bromford",
2011,Birmingham,moorcroft̴road,moorcroft road,
2011,Birmingham,Moseley̴Road,Moseley Road,
2011,Birmingham,moseley̴road,moseley road,
2011,Birmingham,moseley̴road,moseley road,
2011,Birmingham,moseley̴road,moseley road,
2011,Birmingham,Moseley̴Village,Moseley Village,
2011,Birmingham,Moseley̴Village,Moseley Village,
2011,Birmingham," Moseley̴Village,̴Alcester̴road"," Moseley Village, Alcester road",
2011,Birmingham," Mosley̴All̴Services̴Club,̴Church̴Road,̴Moseley."," Mosley All Services Club, Church Road, Moseley.",
2011,Birmingham,Nearlands̴Close̴Quinton,Nearlands Close Quinton,
2011,Birmingham,new̴street,new street,
2011,Birmingham,Northfield̴High̴Street,Northfield High Street,
2011,Birmingham," O/S̴BEHANS,̴HIGHFIELD̴ROAD,̴BILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",
2011,Birmingham," O/S̴The̴junction,̴Mosley̴Village"," O/S The junction, Mosley Village",
2011,Birmingham,O/S̴Washwood̴Heath̴road,O/S Washwood Heath road,
2011,Birmingham," Oakhill̴Road,̴Acocks̴Green"," Oakhill Road, Acocks Green",
2011,Birmingham,Opp̴white̴hart̴lane̴cooks̴lane,Opp white hart lane cooks lane,
2011,Birmingham," Opposite,̴ALDI,̴Stratford̴Road"," Opposite, ALDI, Stratford Road",
2011,Birmingham,Outside̴Java̴lounge̴Alcester̴Road,Outside Java lounge Alcester Road,
2011,Birmingham,Outside̴O2̴Academy̴Night̴Club̴B'ham̴City̴Centre,Outside O2 Academy Night Club B'ham City Centre,
2011,Birmingham,outside̴raven̴public̴house,outside raven public house,
2011,Birmingham," Packington̴Avenue,̴Shard̴End"," Packington Avenue, Shard End",
2011,Birmingham,park̴off̴hob̴moor̴road,park off hob moor road,
2011,Birmingham,Parkhall̴Croft,Parkhall Croft,
2011,Birmingham,Pear̴Tree̴PH,Pear Tree PH,
2011,Birmingham,Police̴station,Police station,
2011,Birmingham,Police̴Station̴Stechford,Police Station Stechford,
2011,Birmingham,poplar̴road,poplar road,
2011,Birmingham,Poplar̴road,Poplar road,
2011,Birmingham," poplar̴road̴,̴solihull"," poplar road , solihull",
2011,Birmingham," poplar̴road,̴solihull"," poplar road, solihull",
2011,Birmingham,Preston̴Road,Preston Road,
2011,Birmingham," Priory̴Road,̴Hall̴Green"," Priory Road, Hall Green",
2011,Birmingham,prospect̴road,prospect road,
2011,Birmingham,queenswood̴road,queenswood road,
2011,Birmingham," rear̴of̴boots,̴high̴street"," rear of boots, high street",
2011,Birmingham," REDDINGS̴LANE,̴TSYLEY"," REDDINGS LANE, TSYLEY",
2011,Birmingham," Richmond̴Primary̴Care̴Centre,̴Richmond̴Road,̴Stechford"," Richmond Primary Care Centre, Richmond Road, Stechford",
2011,Birmingham," ring̴road,̴stourbridge"," ring road, stourbridge",
2011,Birmingham," sainsburys,̴wawrick̴road"," sainsburys, wawrick road",
2011,Birmingham,sainsburys.̴alcester̴road̴south,sainsburys. alcester road south,
2011,Birmingham,Sandford̴Road̴Moseley,Sandford Road Moseley,
2011,Birmingham,Sarehole̴Mill,Sarehole Mill,
2011,Birmingham,Sedgemere̴Road,Sedgemere Road,
2011,Birmingham,Shirley̴Road,Shirley Road,
2011,Birmingham,SHirley̴Road,SHirley Road,
2011,Birmingham,Snow̴Hill,Snow Hill,
2011,Birmingham,Solihull̴Lane,Solihull Lane,
2011,Birmingham," St̴Mary's̴Road,̴Moseley"," St Mary's Road, Moseley",
2011,Birmingham,St̴Marys̴Row,St Marys Row,
2011,Birmingham,station̴road,station road,
2011,Birmingham," Station̴Way,̴Birmingham̴International̴rail̴Station"," Station Way, Birmingham International rail Station",
2011,Birmingham,Stechford̴front̴office,Stechford front office,
2011,Birmingham,Stechford̴P.S.,Stechford P.S.,
2011,Birmingham,Stechford̴Retail̴Park.,Stechford Retail Park.,
2011,Birmingham,Stonehenge̴croft̴Druids̴heath,Stonehenge croft Druids heath,
2011,Birmingham,Stoney̴Lane,Stoney Lane,
2011,Birmingham,Stoney̴Lane,Stoney Lane,
2011,Birmingham,stoney̴lane,stoney lane,
2011,Birmingham," STRATFORD̴HEATH,̴SPARK̴HILL,̴BIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM",
2011,Birmingham,stratford̴road,stratford road,
2011,Birmingham,Stratford̴road,Stratford road,
2011,Birmingham,Stratford̴Road,Stratford Road,
2011,Birmingham," stratford̴road,̴hall̴green"," stratford road, hall green",
2011,Birmingham,stratford̴roads,stratford roads,
2011,Birmingham," Stuart̴Road,̴Stechford"," Stuart Road, Stechford",
2011,Birmingham,talbort̴street,talbort street,
2011,Birmingham,Taunton̴Road,Taunton Road,
2011,Birmingham,Tavistock̴road,Tavistock road,
2011,Birmingham,The̴avenue,The avenue,
2011,Birmingham,The̴paer̴tree̴pub,The paer tree pub,
2011,Birmingham,Trafalger̴Road,Trafalger Road,
2011,Birmingham,Wake̴green̴Road,Wake green Road,
2011,Birmingham,Ward̴End̴Road,Ward End Road,
2011,Birmingham,Warwick̴Road,Warwick Road,
2011,Birmingham,Warwick̴Road,Warwick Road,
2011,Birmingham,Warwick̴Road,Warwick Road,
2011,Birmingham,Warwick̴Road,Warwick Road,
2011,Birmingham,Warwick̴Road,Warwick Road,
2011,Birmingham,Warwick̴Road̴Tysley,Warwick Road Tysley,
2011,Birmingham,Wash̴lane,Wash lane,
2011,Birmingham,Washford̴Heath̴Road,Washford Heath Road,
2011,Birmingham,Washwood̴Heath̴pub,Washwood Heath pub,
2011,Birmingham," WASHWOOD̴HEATH̴RD,̴WASHWOOD̴HEATH,̴BHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",
2011,Birmingham,Washwood̴Heath̴road,Washwood Heath road,
2011,Birmingham,Washwood̴Heath̴Road,Washwood Heath Road,
2011,Birmingham,Washwood̴Heath̴Road,Washwood Heath Road,
2011,Birmingham,Washwood̴Heath̴Road,Washwood Heath Road,
2011,Birmingham," Watery̴Lane̴Middleway,̴Birmingham"," Watery Lane Middleway, Birmingham",
2011,Birmingham,wawrick̴road,wawrick road,
2011,Birmingham," Welshfarm̴Road,̴Quinton"," Welshfarm Road, Quinton",
2011,Birmingham,Westley̴Road,Westley Road,
2011,Birmingham," Westley̴Road,̴Acocks̴Green"," Westley Road, Acocks Green",
2011,Birmingham,White̴Hart̴Public̴House,White Hart Public House,
2011,Birmingham,White̴Hart̴Public̴House,White Hart Public House,
2011,Birmingham," Whiteheart̴pub,̴Gressell̴Lane"," Whiteheart pub, Gressell Lane",
2011,Birmingham," William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road"," William Hill Bookmakers, Washwood Heath Road",
2011,Birmingham," William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road"," William Hill Bookmakers, Washwood Heath Road",
2011,Birmingham,William̴Hill̴Washwood̴Heath̴Road,William Hill Washwood Heath Road,
2011,Birmingham,Windward̴Road,Windward Road,
2011,Birmingham,Windward̴Road,Windward Road,
2011,Birmingham," Wood̴End̴Road,̴Erdington"," Wood End Road, Erdington",
2011,Birmingham," Woodbridge̴road,̴moseley"," Woodbridge road, moseley",
2011,Birmingham,Wright̴Street,Wright Street,
2011,Birmingham,yardley̴green̴road,yardley green road,
2011,Birmingham,yardley̴road̴acocks̴green,yardley road acocks green,
2011,Birmingham,Yardley̴Wood̴Road,Yardley Wood Road,
2011,Birmingham,Yardley̴Wood̴Road,Yardley Wood Road,
2011,Birmingham,Yew̴Tree̴car̴park,Yew Tree car park,
2011,Birmingham,Yew̴Tree̴Lane,Yew Tree Lane,
2011,Birmingham,Yew̴Tree̴public̴house̴car̴park.,Yew Tree public house car park.,
2011,Birmingham," Armada̴Pub,̴Slade̴Road,̴Erdington,̴Birmingham"," Armada Pub, Slade Road, Erdington, Birmingham",
2011,Birmingham," Armarda̴Pub,̴̴Gravelly̴Hill"," Armarda Pub,  Gravelly Hill",
2011,Birmingham," Armarda̴Pub,̴Gravelly̴Hill"," Armarda Pub, Gravelly Hill",
2011,Birmingham,BADGERS̴BANK̴ROAD,BADGERS BANK ROAD,
2011,Birmingham," Baldmoor̴Lake̴Road,̴Erdington,̴Birmingham."," Baldmoor Lake Road, Erdington, Birmingham.",
2011,Birmingham," bandywood̴Rd,̴kingstanding"," bandywood Rd, kingstanding",
2011,Birmingham,Beckenham̴Road,Beckenham Road,
2011,Birmingham,Beeches̴Walk,Beeches Walk,
2011,Birmingham,BIRMINGHAM̴RD,BIRMINGHAM RD,
2011,Birmingham,BIRMINGHAM̴RD,BIRMINGHAM RD,
2011,Birmingham," Birmingham̴Rd,̴SC"," Birmingham Rd, SC",
2011,Birmingham,Birmingham̴Road,Birmingham Road,
2011,Birmingham,Birmingham̴Road,Birmingham Road,
2011,Birmingham,birmingham̴road̴sutton,birmingham road sutton,
2011,Birmingham," Birmingham̴Road,̴Erdington"," Birmingham Road, Erdington",
2011,Birmingham," Birmingham̴Road,̴Sutton̴Coldfield"," Birmingham Road, Sutton Coldfield",
2011,Birmingham," Birmingham̴Road,̴Sutton̴Coldfield"," Birmingham Road, Sutton Coldfield",
2011,Birmingham,BOWLING̴GREEN̴CLOSE,BOWLING GREEN CLOSE,
2011,Birmingham," Bracebridge̴Road,̴Erdington"," Bracebridge Road, Erdington",
2011,Birmingham,brassington̴avenue,brassington avenue,
2011,Birmingham,Bromford̴Lane,Bromford Lane,
2011,Birmingham," Bromford̴Lane,̴Erdington,̴B'ham"," Bromford Lane, Erdington, B'ham",
2011,Birmingham,Brookvale̴park̴Road,Brookvale park Road,
2011,Birmingham," Carhampton̴Road,̴Falcon̴Lodge,̴Sutton̴Colfield"," Carhampton Road, Falcon Lodge, Sutton Colfield",
2011,Birmingham,Carshalton̴Road,Carshalton Road,
2011,Birmingham,carshorlton̴Road,carshorlton Road,
2011,Birmingham,chester̴rd,chester rd,
2011,Birmingham,CHESTER̴ROAD,CHESTER ROAD,
2011,Birmingham," Chester̴Road,̴Halls̴garden̴Centre"," Chester Road, Halls garden Centre",
2011,Birmingham,CHURCH̴RD̴AT̴CHESTER̴RD,CHURCH RD AT CHESTER RD,
2011,Birmingham," College̴Road,̴Kingstanding,̴B'ham"," College Road, Kingstanding, B'ham",
2011,Birmingham," College̴Road,̴Kingstanding,̴B'ham"," College Road, Kingstanding, B'ham",
2011,Birmingham," Copshill̴Court,̴Mount̴View,̴Sutton̴Coldfield"," Copshill Court, Mount View, Sutton Coldfield",
2011,Birmingham," Dovedale̴Road,̴Erdington,̴B'ham"," Dovedale Road, Erdington, B'ham",
2011,Birmingham," Downside̴Road,̴Erdington,̴B'ham"," Downside Road, Erdington, B'ham",
2011,Birmingham," Eachelhurt̴Road,̴Erdington"," Eachelhurt Road, Erdington",
2011,Birmingham,ERDINGTON̴HALL̴ROAD,ERDINGTON HALL ROAD,
2011,Birmingham,ERDINGTON̴HALL̴ROAD,ERDINGTON HALL ROAD,
2011,Birmingham,Erdington̴High̴Street,Erdington High Street,
2011,Birmingham," Fentham̴Road,̴Erdington,̴B'ham"," Fentham Road, Erdington, B'ham",
2011,Birmingham,FINCHLEY̴ROAD,FINCHLEY ROAD,
2011,Birmingham," Finchley̴Road,̴Kingstanding,̴B'ham"," Finchley Road, Kingstanding, B'ham",
2011,Birmingham,GEORGE̴FREDERICK̴ROAD,GEORGE FREDERICK ROAD,
2011,Birmingham,Golden̴Pond̴take̴away̴�����̴Boldmere̴Road,Golden Pond take away ����� Boldmere Road,
2011,Birmingham,good̴hope̴hospital,good hope hospital,
2011,Birmingham,Gracechurch̴Centre,Gracechurch Centre,
2011,Birmingham," Gracechurch̴centre,̴outside̴Supercigs"," Gracechurch centre, outside Supercigs",
2011,Birmingham," GraceChurch̴Shopping̴Centre,̴Sutton̴Coldfield"," GraceChurch Shopping Centre, Sutton Coldfield",
2011,Birmingham," grassed̴area̴,̴pype̴hayes̴park...."," grassed area , pype hayes park....",
2011,Birmingham,Gravelley̴lane,Gravelley lane,
2011,Birmingham,Gravelley̴lane,Gravelley lane,
2011,Birmingham,Gravelley̴lane,Gravelley lane,
2011,Birmingham," Gravelly̴Lane,̴Erdington,̴Birmingham"," Gravelly Lane, Erdington, Birmingham",
2011,Birmingham,hairy̴lemon̴pub̴.sutton̴coldfield,hairy lemon pub .sutton coldfield,
2011,Birmingham,hairy̴lemon̴pub̴.sutton̴coldfield,hairy lemon pub .sutton coldfield,
2011,Birmingham,Hermatige̴Road,Hermatige Road,
2011,Birmingham,Hermatige̴Road,Hermatige Road,
2011,Birmingham,HERMITAGE̴DRIVE,HERMITAGE DRIVE,
2011,Birmingham,High̴Street,High Street,
2011,Birmingham,high̴street̴erdington,high street erdington,
2011,Birmingham," high̴street,̴erdington"," high street, erdington",
2011,Birmingham," High̴Street,̴Erdington"," High Street, Erdington",
2011,Birmingham," High̴Street,̴S/C"," High Street, S/C",
2011,Birmingham," High̴Street,̴S/C"," High Street, S/C",
2011,Birmingham,Hight̴St̴ErdINGTON,Hight St ErdINGTON,
2011,Birmingham,HUNTON̴HILL,HUNTON HILL,
2011,Birmingham," KFC̴retail̴outlet̴,̴Erdington̴High̴street"," KFC retail outlet , Erdington High street",
2011,Birmingham," Kingsbury̴Road,̴Erdington,̴B'ham"," Kingsbury Road, Erdington, B'ham",
2011,Birmingham,Kingstanding̴Circle,Kingstanding Circle,
2011,Birmingham," Ladywell̴Walk,̴Birmingham"," Ladywell Walk, Birmingham",
2011,Birmingham,Landsdown̴Road,Landsdown Road,
2011,Birmingham," LICHFIELD̴ROAD,̴MERE̴GREEN"," LICHFIELD ROAD, MERE GREEN",
2011,Birmingham," LICHFIELD̴ROAD,̴SUTTON̴COLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD",
2011,Birmingham," Lindridge̴Road,̴Sutton̴Coldfield"," Lindridge Road, Sutton Coldfield",
2011,Birmingham,little̴aston̴lane,little aston lane,
2011,Birmingham,LONGFORD̴ROAD,LONGFORD ROAD,
2011,Birmingham," Longford̴Road,̴Kingstanding,̴B'ham"," Longford Road, Kingstanding, B'ham",
2011,Birmingham,lower̴parade,lower parade,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,lower̴parade,lower parade,
2011,Birmingham,lower̴parade,lower parade,
2011,Birmingham,lower̴parade,lower parade,
2011,Birmingham,lower̴parade,lower parade,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,Lower̴Parade,Lower Parade,
2011,Birmingham,LOWER̴PARADE,LOWER PARADE,
2011,Birmingham,lower̴parade̴SC,lower parade SC,
2011,Birmingham,LOWER̴PARADE̴SUTTON,LOWER PARADE SUTTON,
2011,Birmingham,Lower̴Parade̴Sutton̴Coldfield,Lower Parade Sutton Coldfield,
2011,Birmingham," lower̴parade,"," lower parade,",
2011,Birmingham," Lower̴parade,̴Suton̴Coldfield"," Lower parade, Suton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," lower̴parade,̴sutton̴coldfield"," lower parade, sutton coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield̴town̴centre"," Lower Parade, Sutton Coldfield town centre",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield̴town̴Centre"," Lower Parade, Sutton Coldfield town Centre",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield."," Lower Parade, Sutton Coldfield.",
2011,Birmingham,lydham̴close,lydham close,
2011,Birmingham,Mill̴Street,Mill Street,
2011,Birmingham," Mill̴Street,̴Sutton̴Coldfield"," Mill Street, Sutton Coldfield",
2011,Birmingham,moor̴hall̴hotel,moor hall hotel,
2011,Birmingham," Mulberry̴Court̴Carpark,̴Kings̴Road,̴Kingstanding,̴Birmingham"," Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham",
2011,Birmingham,newhall̴walk̴car̴park,newhall walk car park,
2011,Birmingham,newhall̴walk̴car̴park,newhall walk car park,
2011,Birmingham,O/S̴H/A,O/S H/A,
2011,Birmingham,O/s̴Litten̴Tree,O/s Litten Tree,
2011,Birmingham," O/S̴Litten̴Tree,̴S/C̴Town̴Centre"," O/S Litten Tree, S/C Town Centre",
2011,Birmingham," O/S̴MooMoo̴Bar,̴S/c̴Town̴Centre"," O/S MooMoo Bar, S/c Town Centre",
2011,Birmingham," o/s̴moomoo̴bar,̴South̴parade"," o/s moomoo bar, South parade",
